"Loan.Amount","Loan.Term","Employment.Length","Home.Ownership","Annual.Income","Loan.Purpose","Address.State","Debt.To.Income.Ratio","No..Delinquencies.In.Last.2.Years","Earliest.Credit.Line.Opened","FICO.Credit.Score","No..Inquiries.In.Last.6.Months","Months.Since.Last.Delinquency","No..Of.Credit.Lines","No..Adverse.Public.Records","Total.Credit.Balance","Use.Of.Credit.Line","Total.Number.Of.Credit.Lines","Loan.Application.Description","No..Of.Public.Record.Bankruptcies","Class"
8000,"36 Months",4,"OWN",21000,"Major Purchase","MI",11.43,"None",36752.08958,680,2,34,7,"None",5142,46.3,8,563,"None","0"
20000,"36 Months",8,"RENT",62000,"Credit Card","OR",19.5,"None",33926.26181,670,2,0,16,"None",39842,85.5,39,123,"None","0"
11200,"36 Months",10,"RENT",100016,"Other","NJ",11.04,"None",30850.48056,680,2,30,15,"None",13747,24.7,27,299,"None","0"
14700,"60 Months",10,"MORTGAGE",108000,"Other","NH",9.63,"None",32661.10417,755,1,0,10,"None",8032,37.4,31,1000,"None","0"
6500,"36 Months",4,"RENT",84000,"Other","CT",18.1,"None",34516.375,700,1,34,10,"None",14575,36.4,30,847,"None","0"
30000,"60 Months",9,"OWN",65000,"Debt Consolidation","NY",24.96,"None",36307.35347,745,0,0,14,"None",31572,45.6,32,0,"None","0"
14500,"36 Months",4,"MORTGAGE",98000,"Debt Consolidation","CA",17.2,"None",34971.39514,760,0,0,8,"None",5564,20.7,25,1000,"None","0"
8400,"36 Months",0.5,"RENT",66000,"Credit Card","OH",12.91,"None",37920.35764,735,2,0,11,"None",10257,38.1,13,366,"None","0"
24925,"36 Months",10,"MORTGAGE",65000,"Debt Consolidation","HI",16.19,"None",32937.51806,685,0,45,15,"None",33844,68.5,29,0,"None","0"
8725,"36 Months",4,"RENT",26000,"Car","WA",12.69,"None",32542.47431,685,0,0,7,"One",9794,67.1,9,300,"One","0"
7000,"36 Months",6,"RENT",125000,"Debt Consolidation","CO",8.34,"None",36795.20278,685,1,0,11,"None",22546,90.1,20,240,"None","0"
11500,"36 Months",2,"MORTGAGE",30000,"Home Improvement","IL",1.8,"None",32171.0625,790,0,0,7,"None",2324,5.7,24,179,"None","0"
15000,"36 Months",8,"MORTGAGE",88296,"Debt Consolidation","FL",13.73,"None",33955.53403,730,0,36,14,"None",14903,35.3,48,605,"None","0"
10000,"36 Months",3,"RENT",36000,"Debt Consolidation","OH",22.73,"None",35605.12014,680,0,70,7,"One",10295,94.4,15,257,"One","0"
12000,"36 Months",10,"OWN",69000,"Debt Consolidation","VA",8.68,"None",31220.23194,805,0,0,19,"None",7336,7.2,39,69,"None","0"
7000,"36 Months",0.5,"RENT",127000,"Debt Consolidation","CA",13.4,"None",36642.46597,720,0,0,12,"None",11485,75.1,26,223,"None","0"
9400,"36 Months",2,"RENT",60000,"Credit Card","CA",22.78,"None",37791.47222,730,0,0,14,"None",13775,35.1,38,130,"None","0"
12600,"36 Months",10,"MORTGAGE",140000,"House","TX",2.01,"None",33990.10694,785,0,0,8,"None",15221,39.9,32,574,"None","0"
10500,"36 Months",0.5,"MORTGAGE",99000,"Other","CT",21.64,"None",35163.41319,690,1,58,11,"None",12799,67.4,29,0,"None","0"
